"Population by Age Group, Sex, Region, and Province/Highly Urbanized City: Philippines , 2020",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Both Sexes,,,,,,,,,,,,,,,,,,Male,,,,,,,,,,,,,,,,,,Female,,,,,,,,,,,,,,,,,
,,All Ages,Below 5,5-9,10-14,15-19,20-24,25-29,30-34,35-39,40-44,45-49,50-54,55-59,60-64,65-69,70-74,75-79,80 years old and over,All Ages,Below 5,5-9,10-14,15-19,20-24,25-29,30-34,35-39,40-44,45-49,50-54,55-59,60-64,65-69,70-74,75-79,80 years old and over,All Ages,Below 5,5-9,10-14,15-19,20-24,25-29,30-34,35-39,40-44,45-49,50-54,55-59,60-64,65-69,70-74,75-79,80 years old and over
,....Negros Occidental *,2623172,265663,279559,278048,260285,224887,207217,182196,160118,145609,133160,122696,109135,90390,66343,41605,28057,28204,1341528,137183,145284,143701,133776,116279,107308,96448,85142,77041,68600,62495,54866,43801,31090,18194,10864,9456,1281644,128480,134275,134347,126509,108608,99909,85748,74976,68568,64560,60201,54269,46589,35253,23411,17193,18748
,....City of Bacolod,600783,54350,55260,55997,55636,55456,50850,45572,41276,37476,32717,29749,25266,21750,16246,10514,6212,6456,298569,28048,28794,28893,27817,27718,25682,23316,21128,18930,16427,14527,12133,9780,7015,4290,2225,1846,302214,26302,26466,27104,27819,27738,25168,22256,20148,18546,16290,15222,13133,11970,9231,6224,3987,4610
,....City of Iloilo,457626,44705,42541,40040,38408,42914,39715,35223,32000,28662,24109,22318,19648,16601,12255,8115,4818,5554,227078,22878,21960,20651,19441,21471,20090,18112,16289,14653,12121,10824,9275,7521,5320,3230,1683,1559,230548,21827,20581,19389,18967,21443,19625,17111,15711,14009,11988,11494,10373,9080,6935,4885,3135,3995
,..REGION VII (CENTRAL VISAYAS),8081988,818458,831160,814141,782134,739566,693342,602033,523606,464865,406654,357904,312268,255384,189707,126031,82285,82450,4107820,424085,431814,420924,400677,376996,354228,312093,271698,239841,207826,180633,155863,124157,88725,55815,33522,28923,3974168,394373,399346,393217,381457,362570,339114,289940,251908,225024,198828,177271,156405,131227,100982,70216,48763,53527
,....Bohol,1394329,132625,138346,141830,142435,117383,103419,94222,84478,79185,73012,66877,59502,50730,37756,29002,21361,22166,710739,68751,72239,73520,73519,61095,53477,48913,43949,41290,37735,34126,29934,24997,17740,12865,8727,7862,683590,63874,66107,68310,68916,56288,49942,45309,40529,37895,35277,32751,29568,25733,20016,16137,12634,14304
,....Cebu *,3325385,355059,361227,346084,324818,299427,279364,243163,213479,188556,162924,141768,123112,100185,75726,49105,31240,30148,1696389,183909,187849,179482,167753,153714,142817,125998,110839,97582,83615,71943,61960,48868,35268,21810,12594,10388,1628996,171150,173378,166602,157065,145713,136547,117165,102640,90974,79309,69825,61152,51317,40458,27295,18646,19760
,....Negros Oriental,1432990,144422,148112,145578,138615,125503,117648,101119,87197,77680,71823,66179,61580,50693,38958,24415,16140,17328,730562,74897,76657,74925,70514,64084,60799,53302,45857,40403,36732,33118,30813,24874,18875,11153,6940,6619,702428,69525,71455,70653,68101,61419,56849,47817,41340,37277,35091,33061,30767,25819,20083,13262,9200,10709
,....Siquijor,103395,8041,9046,9240,9465,8297,7869,7290,6774,6327,5983,5524,4957,4297,3469,2565,2077,2174,52192,4158,4589,4770,4850,4284,4053,3720,3512,3284,3076,2893,2495,2087,1673,1117,887,744,51203,3883,4457,4470,4615,4013,3816,3570,3262,3043,2907,2631,2462,2210,1796,1448,1190,1430
,....City of Cebu,964169,95372,92172,89895,89666,99594,94858,78878,65966,56799,48323,42000,35510,28697,20011,12571,7024,6833,482241,49148,47663,46277,45005,49140,47940,40460,33758,28717,24081,20506,17157,13350,8960,5323,2666,2090,481928,46224,44509,43618,44661,50454,46918,38418,32208,28082,24242,21494,18353,15347,11051,7248,4358,4743
,....City of Lapu-Lapu (Opon),497604,50681,50676,50105,45063,49979,50421,44324,38024,32424,25010,19250,14537,11041,7310,4542,2355,1862,250299,26312,26330,25825,22740,24849,24700,22310,19377,16375,12601,9747,7137,5304,3303,1914,887,588,247305,24369,24346,24280,22323,25130,25721,22014,18647,16049,12409,9503,7400,5737,4007,2628,1468,1274
,....City of Mandaue,364116,32258,31581,31409,32072,39383,39763,33037,27688,23894,19579,16306,13070,9741,6477,3831,2088,1939,185398,16910,16487,16125,16296,19830,20442,17390,14406,12190,9986,8300,6367,4677,2906,1633,821,632,178718,15348,15094,15284,15776,19553,19321,15647,13282,11704,9593,8006,6703,5064,3571,2198,1267,1307
,..REGION VIII (EASTERN VISAYAS),4547150,475777,499348,497429,478776,405926,339954,292211,260340,245467,223590,206080,178037,150241,110239,80153,53118,50464,2333375,246009,259523,257458,245756,210391,176413,153606,137219,128941,116864,106151,91355,75265,52765,35820,21953,17886,2213775,229768,239825,239971,233020,195535,163541,138605,123121,116526,106726,99929,86682,74976,57474,44333,31165,32578
,....Biliran,179312,18066,20373,20147,18539,15099,12805,10958,10021,9542,8957,8489,7410,6144,4705,3480,2279,2298,91472,9421,10578,10475,9605,7761,6623,5697,5235,4911,4686,4295,3727,3057,2189,1542,894,776,87840,8645,9795,9672,8934,7338,6182,5261,4786,4631,4271,4194,3683,3087,2516,1938,1385,1522
,....Eastern Samar,477168,47677,50796,52162,51997,43971,35370,30164,26689,25389,23608,21633,18462,15563,11577,8994,6470,6646,247333,24743,26346,26946,26918,23069,18589,16125,14267,13552,12484,11293,9783,7895,5730,4275,2876,2442,229835,22934,24450,25216,25079,20902,16781,14039,12422,11837,11124,10340,8679,7668,5847,4719,3594,4204
,....Leyte *,1776847,186843,193017,191175,177642,151597,134326,118737,105446,98246,87451,81040,72060,62138,45769,32009,20189,19162,912011,96438,100311,99170,90936,78473,69416,62387,56062,52077,45845,41662,37170,31157,21948,14297,8141,6521,864836,90405,92706,92005,86706,73124,64910,56350,49384,46169,41606,39378,34890,30981,23821,17712,12048,12641
,....Northern Samar,639186,71196,76389,76385,74179,59548,45597,38116,33579,31954,29913,26534,21979,17848,13293,9794,6885,5997,327800,36758,39583,39477,38182,31125,23783,20081,17652,16563,15428,13645,11003,8869,6282,4350,2820,2199,311386,34438,36806,36908,35997,28423,21814,18035,15927,15391,14485,12889,10976,8979,7011,5444,4065,3798
,....Samar (Western Samar),793183,85418,90736,89274,89168,74149,59324,47522,42671,41079,39168,35166,28988,23946,17176,12757,8769,7872,408395,44040,47170,45937,45615,38432,31082,25225,22401,21658,20599,18364,15072,12165,8348,5586,3718,2983,384788,41378,43566,43337,43553,35717,28242,22297,20270,19421,18569,16802,13916,11781,8828,7171,5051,4889
,....Southern Leyte,429573,39643,41230,43552,42905,35757,30470,28263,25777,25236,22348,22290,19675,16945,12588,9695,6519,6680,218819,20716,21610,22680,22152,18415,15616,14598,13178,12970,11649,11445,9918,8427,5970,4356,2720,2399,210754,18927,19620,20872,20753,17342,14854,13665,12599,12266,10699,10845,9757,8518,6618,5339,3799,4281
,....City of Tacloban,251881,26934,26807,24734,24346,25805,22062,18451,16157,14021,12145,10928,9463,7657,5131,3424,2007,1809,127545,13893,13925,12773,12348,13116,11304,9493,8424,7210,6173,5447,4682,3695,2298,1414,784,566,124336,13041,12882,11961,11998,12689,10758,8958,7733,6811,5972,5481,4781,3962,2833,2010,1223,1243
,..REGION IX (ZAMBOANGA PENINSULA),3875576,426424,443026,427065,397063,355135,313454,266218,229557,211774,187800,166390,139685,114058,83016,52039,31819,31053,1976820,218922,228684,218621,202003,180769,160831,138419,119860,110858,96893,84816,71189,56363,40068,23397,13490,11637,1898756,207502,214342,208444,195060,174366,152623,127799,109697,100916,90907,81574,68496,57695,42948,28642,18329,19416
,....Zamboanga del Norte,1047455,120442,120273,115274,107175,92182,79816,68165,59513,55052,51224,46135,39598,32315,24243,15552,10498,9998,537198,62010,62394,59277,54946,47086,41269,35755,31285,28865,26484,23734,20493,16205,11800,7162,4607,3826,510257,58432,57879,55997,52229,45096,38547,32410,28228,26187,24740,22401,19105,16110,12443,8390,5891,6172
,....Zamboanga del Sur *,1050668,117637,120236,117309,108968,94408,84372,71499,59911,56409,49949,44683,38638,31686,22738,14234,8820,9171,536990,60162,62011,60031,55513,48198,43360,37491,31668,29944,25944,22733,19649,15702,10882,6429,3736,3537,513678,57475,58225,57278,53455,46210,41012,34008,28243,26465,24005,21950,18989,15984,11856,7805,5084,5634
,....Zamboanga Sibugay,669840,72720,80838,78661,71228,58357,53195,45909,39081,35583,31503,28441,23346,18908,13532,8370,5187,4981,343163,37584,41760,40251,36308,29609,27072,23851,20439,18797,16416,14695,11995,9498,6728,3841,2293,2026,326677,35136,39078,38410,34920,28748,26123,22058,18642,16786,15087,13746,11351,9410,6804,4529,2894,2955
,....City of Isabela **,130379,16709,15678,14748,13418,12845,10652,8940,7581,6693,5806,4982,3967,3110,2321,1428,735,766,65675,8700,8067,7495,6659,6493,5306,4516,3729,3403,2881,2574,2043,1508,1119,639,296,247,64704,8009,7611,7253,6759,6352,5346,4424,3852,3290,2925,2408,1924,1602,1202,789,439,519
,....City of Zamboanga,977234,98916,106001,101073,96274,97343,85419,71705,63471,58037,49318,42149,34136,28039,20182,12455,6579,6137,493794,50466,54452,51567,48577,49383,43824,36806,32739,29849,25168,21080,17009,13450,9539,5326,2558,2001,483440,48450,51549,49506,47697,47960,41595,34899,30732,28188,24150,21069,17127,14589,10643,7129,4021,4136
,..REGION X (NORTHERN MINDANAO),5022768,546398,567248,542291,502593,456335,417968,366781,307511,279607,242197,215534,182797,148323,105308,64822,38381,38674,2566715,281519,293423,279029,255915,232523,214929,192091,160895,145672,125029,109265,92274,73271,50922,29794,16156,14008,2456053,264879,273825,263262,246678,223812,203039,174690,146616,133935,117168,106269,90523,75052,54386,35028,22225,24666
,....Bukidnon,1541308,170521,185320,175502,157723,138341,128431,114696,94088,83685,71315,62121,52162,41827,28365,16905,10034,10272,801618,88364,95707,90392,81189,71488,67710,61327,50518,44838,37725,32315,27140,21435,14352,8366,4633,4119,739690,82157,89613,85110,76534,66853,60721,53369,43570,38847,33590,29806,25022,20392,14013,8539,5401,6153
,....Camiguin,92808,8900,10043,9710,9112,7422,6640,5856,5413,5218,4901,4806,4263,3365,2555,1868,1325,1411,47216,4609,5193,5064,4652,3840,3323,3056,2833,2743,2499,2452,2182,1698,1223,836,538,475,45592,4291,4850,4646,4460,3582,3317,2800,2580,2475,2402,2354,2081,1667,1332,1032,787,936
,....Lanao del Norte *,722902,89828,92460,86571,77538,68075,60103,49600,41359,36528,30557,26073,20430,16489,11717,7447,3998,4129,363102,45846,46804,43745,38532,33718,29587,25272,21099,18712,15638,13093,10450,8236,5652,3443,1717,1558,359800,43982,45656,42826,39006,34357,30516,24328,20260,17816,14919,12980,9980,8253,6065,4004,2281,2571
,....Misamis Occidental,617333,60350,62247,62083,60595,53502,47233,41853,36374,35436,33001,31126,26995,22599,16933,11514,7769,7723,312526,30899,32367,32053,30950,27403,24257,21748,18889,18485,16955,15820,13467,10868,7826,4940,3040,2559,304807,29451,29880,30030,29645,26099,22976,20105,17485,16951,16046,15306,13528,11731,9107,6574,4729,5164
,....Misamis Oriental *,956900,106556,107977,102994,95075,83224,76398,69079,57811,52844,45877,42044,36842,29617,21404,13168,7860,8130,491005,54825,56479,53338,49005,43134,39635,36246,30368,27488,23641,21180,18515,14608,10439,5964,3245,2895,465895,51731,51498,49656,46070,40090,36763,32833,27443,25356,22236,20864,18327,15009,10965,7204,4615,5235
,....City of Cagayan de Oro,728402,71258,70732,67988,65946,71651,68215,60052,50213,45359,38414,33112,27778,22842,16239,9203,4841,4559,368664,36801,36744,35026,33255,35881,34843,31300,25952,23147,19545,16517,13556,10837,7560,4168,1969,1563,359738,34457,33988,32962,32691,35770,33372,28752,24261,22212,18869,16595,14222,12005,8679,5035,2872,2996
,....City of Iligan,363115,38985,38469,37443,36604,34120,30948,25645,22253,20537,18132,16252,14327,11584,8095,4717,2554,2450,182584,20175,20129,19411,18332,17059,15574,13142,11236,10259,9026,7888,6964,5589,3870,2077,1014,839,180531,18810,18340,18032,18272,17061,15374,12503,11017,10278,9106,8364,7363,5995,4225,2640,1540,1611
,..REGION XI (DAVAO REGION),5243536,542024,551507,544264,498580,475544,445141,408997,345108,310101,267807,232759,193785,162692,114816,70860,40322,39229,2695648,279290,284843,280215,254377,242203,230077,216025,183003,164329,140343,119652,98501,81011,55652,33166,17708,15253,2547888,262734,266664,264049,244203,233341,215064,192972,162105,145772,127464,113107,95284,81681,59164,37694,22614,23976
,....Davao de Oro (Compostela Valley),767547,78750,84129,83412,79054,65611,63101,58188,48099,42691,38540,35432,28871,23490,16038,9967,6154,6020,401723,40760,43507,43385,40858,33963,33229,31503,26100,23334,20591,18921,15169,12266,8027,4836,2823,2451,365824,37990,40622,40027,38196,31648,29872,26685,21999,19357,17949,16511,13702,11224,8011,5131,3331,3569
,....Davao del Norte,1125057,117985,118075,114270,104303,97958,94794,90280,77090,68362,57472,50083,41992,35527,25109,15035,8650,8072,579554,60705,60680,58846,53343,49636,48781,47657,41081,36266,30202,25972,21543,17849,12526,7309,3907,3251,545503,57280,57395,55424,50960,48322,46013,42623,36009,32096,27270,24111,20449,17678,12583,7726,4743,4821
,....Davao del Sur *,680481,70494,69228,70290,62295,59324,55672,52544,44387,40421,35274,31302,27129,23499,16665,10412,5734,5811,349638,36324,36053,36163,31886,30422,28738,27755,23399,21479,18570,15879,13670,11723,7959,4839,2537,2242,330843,34170,33175,34127,30409,28902,26934,24789,20988,18942,16704,15423,13459,11776,8706,5573,3197,3569
,....Davao Occidental,317159,38121,39375,38764,31995,26823,23734,21902,18515,16882,15545,12667,10324,8706,5876,3542,1955,2433,164526,19613,20130,19746,16357,13929,12428,11843,10055,9017,8296,6578,5591,4400,2934,1706,899,1004,152633,18508,19245,19018,15638,12894,11306,10059,8460,7865,7249,6089,4733,4306,2942,1836,1056,1429
,....Davao Oriental,576343,59352,64484,64689,58905,50425,43471,39634,33340,31859,29577,26913,22797,18586,13148,8681,5224,5258,298089,30656,33130,33207,29980,26059,22887,21059,18109,17212,15657,14013,11771,9418,6380,4137,2338,2076,278254,28696,31354,31482,28925,24366,20584,18575,15231,14647,13920,12900,11026,9168,6768,4544,2886,3182
,....City of Davao,1776949,177322,176216,172839,162028,175403,164369,146449,123677,109886,91399,76362,62672,52884,37980,23223,12605,11635,902118,91232,91343,88868,81953,88194,84014,76208,64259,57021,47027,38289,30757,25355,17826,10339,5204,4229,874831,86090,84873,83971,80075,87209,80355,70241,59418,52865,44372,38073,31915,27529,20154,12884,7401,7406
,..REGION XII (SOCCSKSARGEN),4360974,470277,491283,478008,441922,403416,366829,325476,277351,250800,216553,184784,146270,115780,81358,50723,30329,29815,2232939,242323,254052,245479,224465,206017,188709,170485,145041,131462,112932,95396,74499,57181,38920,22748,12434,10796,2128035,227954,237231,232529,217457,197399,178120,154991,132310,119338,103621,89388,71771,58599,42438,27975,17895,19019
,....Cotabato (North Cotabato),1275185,133785,145194,142030,129478,112276,103858,93390,80281,72466,63515,55818,44899,36276,25897,16186,9902,9934,653821,69122,75030,73279,66071,57800,53197,49028,41833,38029,33152,28808,22830,17980,12450,7330,4130,3752,621364,64663,70164,68751,63407,54476,50661,44362,38448,34437,30363,27010,22069,18296,13447,8856,5772,6182
,....Sarangani,558946,64992,66808,64506,59117,51648,46152,39750,33936,30251,26781,22021,17399,13537,9362,5792,3525,3369,289480,33383,34420,32957,30163,26731,24061,21284,18114,16181,14064,11660,9072,6939,4744,2733,1598,1376,269466,31609,32388,31549,28954,24917,22091,18466,15822,14070,12717,10361,8327,6598,4618,3059,1927,1993
,....South Cotabato *,975476,104611,106738,104615,96349,88285,82378,73938,62966,58257,49118,41761,33484,27008,19286,12054,7453,7175,498578,53782,55369,53753,49208,44890,42533,38845,33131,30531,25577,21494,16890,13107,8941,5227,2888,2412,476898,50829,51369,50862,47141,43395,39845,35093,29835,27726,23541,20267,16594,13901,10345,6827,4565,4763
,....Sultan Kudarat,854052,94984,98362,95793,91138,81629,71434,62649,52829,47173,40656,34306,26382,21005,14825,9598,5541,5748,437331,48827,50677,49046,46026,41486,36775,32483,27595,24904,21545,18017,13779,10440,7107,4370,2238,2016,416721,46157,47685,46747,45112,40143,34659,30166,25234,22269,19111,16289,12603,10565,7718,5228,3303,3732
,....City of General Santos (Dadiangas),697315,71905,74181,71064,65840,69578,63007,55749,47339,42653,36483,30878,24106,17954,11988,7093,3908,3589,353729,37209,38556,36444,32997,35110,32143,28845,24368,21817,18594,15417,11928,8715,5678,3088,1580,1240,343586,34696,35625,34620,32843,34468,30864,26904,22971,20836,17889,15461,12178,9239,6310,4005,2328,2349
,..REGION XIII (CARAGA),2804788,284996,316717,306377,289967,250211,224288,198706,167442,150666,136861,125562,108940,88313,62366,41092,26750,25534,1441814,147557,164180,158063,148896,128900,116751,105309,89149,79232,71127,64315,55018,43809,30035,18601,11237,9635,1362974,137439,152537,148314,141071,121311,107537,93397,78293,71434,65734,61247,53922,44504,32331,22491,15513,15899
,....Agusan del Norte *,387503,38482,43837,43233,39696,34258,30434,27836,23003,20640,18510,17366,15443,12751,9135,5647,3562,3670,199054,19849,22809,22458,20337,17676,15813,14721,12176,10834,9494,8866,7756,6311,4421,2614,1483,1436,188449,18633,21028,20775,19359,16582,14621,13115,10827,9806,9016,8500,7687,6440,4714,3033,2079,2234
,....Agusan del Sur,739367,81149,91107,86733,77730,62870,59037,52373,43200,37802,34524,31288,26690,21123,14097,8886,5551,5207,384425,42073,47140,44841,39980,32470,30857,28280,23373,20259,18382,16344,13862,10772,7040,4202,2417,2133,354942,39076,43967,41892,37750,30400,28180,24093,19827,17543,16142,14944,12828,10351,7057,4684,3134,3074
,....Dinagat Islands,128117,12994,14006,13616,13298,11335,9939,8372,7041,6347,6185,5824,5073,4331,3442,2626,1900,1788,65313,6685,7165,7046,6910,5751,5121,4383,3722,3387,3165,2955,2531,2080,1650,1146,860,756,62804,6309,6841,6570,6388,5584,4818,3989,3319,2960,3020,2869,2542,2251,1792,1480,1040,1032
,....Surigao del Norte,534636,51562,56048,54233,56152,50642,42905,37816,32896,30211,27538,24558,21098,16995,12166,8349,6054,5413,272871,26741,28993,28038,28800,26219,22407,19815,17410,15697,14218,12387,10484,8283,5592,3560,2378,1849,261765,24821,27055,26195,27352,24423,20498,18001,15486,14514,13320,12171,10614,8712,6574,4789,3676,3564
,....Surigao del Sur,642255,66390,72476,69366,65197,56307,50475,44303,38200,34208,31282,29110,25665,21135,15222,10044,6513,6362,330782,34343,37695,35570,33495,29180,26413,23700,20498,18001,16205,15008,12964,10521,7442,4637,2792,2318,311473,32047,34781,33796,31702,27127,24062,20603,17702,16207,15077,14102,12701,10614,7780,5407,3721,4044
,....City of Butuan,372910,34419,39243,39196,37894,34799,31498,28006,23102,21458,18822,17416,14971,11978,8304,5540,3170,3094,189369,17866,20378,20110,19374,17604,16140,14410,11970,11054,9663,8755,7421,5842,3890,2442,1307,1143,183541,16553,18865,19086,18520,17195,15358,13596,11132,10404,9159,8661,7550,6136,4414,3098,1863,1951
,..BANGSAMORO AUTONOMOUS REGION IN MUSLIM MINDANAO (BARMM),4944800,740924,671823,632775,548840,488157,415725,326154,283540,244859,195789,138624,90860,65994,46446,26806,13866,13618,2480287,378839,340058,318282,273798,240038,201082,160137,137733,123065,100118,73833,48355,34566,23744,13722,6823,6094,2464513,362085,331765,314493,275042,248119,214643,166017,145807,121794,95671,64791,42505,31428,22702,13084,7043,7524
,....Basilan,426207,63997,61659,56609,45085,40271,34694,27501,23791,19574,16324,12237,8621,6262,4531,2413,1320,1318,214031,32681,31485,28777,22756,19843,16947,13473,11491,9731,8328,6350,4463,3175,2220,1171,605,535,212176,31316,30174,27832,22329,20428,17747,14028,12300,9843,7996,5887,4158,3087,2311,1242,715,783
,....Lanao del Sur,1195518,182935,160635,156444,137727,123922,101562,75957,63721,55929,44653,32667,20805,15353,10969,6000,3125,3114,591362,92540,80289,77283,67682,59898,48592,36639,30881,27485,22391,16822,11008,7984,5633,3124,1633,1478,604156,90395,80346,79161,70045,64024,52970,39318,32840,28444,22262,15845,9797,7369,5336,2876,1492,1636
,....Maguindanao,1667258,261467,229077,213670,174820,161019,138718,114131,97260,84621,64522,45623,29784,21451,14024,8428,4283,4360,845895,135552,117086,108499,88601,80030,67575,56515,47411,43182,33450,24786,16189,11303,7378,4325,2095,1918,821363,125915,111991,105171,86219,80989,71143,57616,49849,41439,31072,20837,13595,10148,6646,4103,2188,2442
,....Sulu,1000108,130435,135399,130529,122145,101053,84772,63154,58591,50704,42737,28675,18759,13051,9293,5470,2727,2614,497324,65510,67922,65435,60216,49391,40605,30962,28277,25426,21680,15343,9737,6958,4583,2806,1293,1180,502784,64925,67477,65094,61929,51662,44167,32192,30314,25278,21057,13332,9022,6093,4710,2664,1434,1434
,....Tawi-Tawi,440276,69224,57828,51323,46128,39353,36465,30416,27987,23805,19429,13261,8911,6334,4799,2629,1325,1059,222897,35675,29324,25820,23171,19707,17582,15013,13653,12084,10167,7301,4834,3420,2582,1396,689,479,217379,33549,28504,25503,22957,19646,18883,15403,14334,11721,9262,5960,4077,2914,2217,1233,636,580
,....Eight (8) Area Clusters ***,215433,32866,27225,24200,22935,22539,19514,14995,12190,10226,8124,6161,3980,3543,2830,1866,1086,1153,108778,16881,13952,12468,11372,11169,9781,7535,6020,5157,4102,3231,2124,1726,1348,900,508,504,106655,15985,13273,11732,11563,11370,9733,7460,6170,5069,4022,2930,1856,1817,1482,966,578,649
Household Population,PHILIPPINES /a,108667043,11066707,11266823,11080715,10459186,9969846,9172896,8120568,7179320,6491312,5571168,4941712,4124118,3367223,2393521,1575398,930610,955920,55017643,5712817,5840155,5716464,5344532,5073881,4669488,4175658,3676838,3326411,2843263,2486661,2048881,1627460,1111215,682312,365443,316164,53649400,5353890,5426668,5364251,5114654,4895965,4503408,3944910,3502482,3164901,2727905,2455051,2075237,1739763,1282306,893086,565167,639756
,..NATIONAL CAPITAL REGION (NCR),13403551,1279455,1237358,1176552,1116332,1275404,1288164,1163432,1007583,885774,741559,648401,527921,421094,279636,176093,88354,90439,6674239,660748,641557,608186,566962,638921,648797,593552,506933,441278,365802,312085,247287,191240,121505,71391,31616,26379,6729312,618707,595801,568366,549370,636483,639367,569880,500650,444496,375757,336316,280634,229854,158131,104702,56738,64060
,....City of Manila,1837785,169197,166219,158492,157479,179543,177304,154671,132764,118295,101184,92142,75686,60909,40744,26745,12888,13523,912803,87379,86176,81613,79738,89862,89314,79429,67126,59096,50085,44256,35414,27409,17420,10541,4440,3505,924982,81818,80043,76879,77741,89681,87990,75242,65638,59199,51099,47886,40272,33500,23324,16204,8448,10018
,....City of Mandaluyong,419333,38658,36691,34543,31431,43497,45661,38642,32157,27448,22870,19479,15805,12554,8507,5673,2900,2817,206818,19973,18719,17746,15825,21507,22894,19568,16066,13780,11296,9384,7165,5477,3546,2147,989,736,212515,18685,17972,16797,15606,21990,22767,19074,16091,13668,11574,10095,8640,7077,4961,3526,1911,2081
,....City of Marikina,452961,42157,42273,41145,38225,40551,40231,36153,32099,29570,26155,23282,19083,15700,11067,7303,3713,4254,224014,21804,21899,21415,19465,20378,19981,18311,15793,14582,12560,11161,9008,7220,4768,2969,1324,1376,228947,20353,20374,19730,18760,20173,20250,17842,16306,14988,13595,12121,10075,8480,6299,4334,2389,2878
,....City of Pasig,801439,81142,78013,71008,65599,71983,76433,71548,62271,53920,43827,36904,29210,23382,15952,10218,5029,5000,397387,41770,40399,36887,33210,35711,37907,36103,31334,26727,21545,17673,13572,10332,6667,4242,1774,1534,404052,39372,37614,34121,32389,36272,38526,35445,30937,27193,22282,19231,15638,13050,9285,5976,3255,3466
,....Quezon City,2950493,291124,276416,258418,241493,274038,276410,252021,219307,195077,165706,146235,119573,94313,61459,37828,19784,21291,1465480,149971,143125,134154,122294,137129,139223,128187,110066,96425,81173,69846,55691,42767,26714,15372,7138,6205,1485013,141153,133291,124264,119199,136909,137187,123834,109241,98652,84533,76389,63882,51546,34745,22456,12646,15086
,....City of San Juan,124699,10650,10024,9604,8923,11514,11381,10714,9586,8834,7618,6841,5989,4794,3346,2263,1201,1417,60124,5475,5186,5055,4542,5562,5510,5263,4658,4185,3622,3256,2659,2050,1352,958,383,408,64575,5175,4838,4549,4381,5952,5871,5451,4928,4649,3996,3585,3330,2744,1994,1305,818,1009
,....City of Caloocan,1659025,167266,164478,156972,149846,157942,152446,134931,118704,105656,89306,79300,63898,49784,31316,18942,9470,8768,835738,87000,85677,80811,76819,79622,77308,69105,60200,53258,44930,39177,30641,23519,14047,7661,3386,2577,823287,80266,78801,76161,73027,78320,75138,65826,58504,52398,44376,40123,33257,26265,17269,11281,6084,6191
,....City of Malabon,379463,35984,36529,35817,34437,36859,34372,30303,26880,24617,20863,18149,14985,11945,7819,5072,2414,2418,191974,18636,19031,18538,17698,18743,17675,15740,13641,12488,10573,9053,7335,5559,3518,2129,911,706,187489,17348,17498,17279,16739,18116,16697,14563,13239,12129,10290,9096,7650,6386,4301,2943,1503,1712
,....City of Navotas,246743,25337,25699,24348,23052,23356,21398,19098,16814,15509,13164,11390,9428,7356,4921,3064,1512,1297,125744,13151,13542,12521,11831,11951,10976,9919,8554,8020,6796,5682,4738,3620,2276,1212,567,388,120999,12186,12157,11827,11221,11405,10422,9179,8260,7489,6368,5708,4690,3736,2645,1852,945,909
,....City of Valenzuela,713181,66781,65212,65950,62632,69477,68677,62498,54590,48705,39381,32879,26193,20020,13667,8379,4148,3992,362597,34603,33941,34137,31935,35700,35586,32661,28111,24876,20019,16442,12760,9514,6113,3496,1526,1177,350584,32178,31271,31813,30697,33777,33091,29837,26479,23829,19362,16437,13433,10506,7554,4883,2622,2815
,....City of Las Piñas,604283,55381,55195,52600,50701,57676,56189,51603,45993,41384,34524,29228,23615,19264,13592,8856,4395,4087,299446,28614,28704,27220,25800,29034,28149,26019,22654,20237,16971,13912,10907,8644,5942,3706,1657,1276,304837,26767,26491,25380,24901,28642,28040,25584,23339,21147,17553,15316,12708,10620,7650,5150,2738,2811
,....City of Makati,624032,52754,47909,45441,42820,56055,64903,63121,52033,42553,35406,31891,27895,24197,15959,9960,5035,6100,302987,26905,24759,23557,21681,27092,31737,31818,25615,20687,16841,14697,12607,10696,6767,3975,1764,1789,321045,25849,23150,21884,21139,28963,33166,31303,26418,21866,18565,17194,15288,13501,9192,5985,3271,4311
,....City of Muntinlupa,519112,48124,46271,43923,43559,47723,48596,45215,40881,35894,30066,25501,20545,17082,11606,7223,3544,3359,256360,24974,23902,22544,22185,23967,24387,22739,20490,17580,14507,12010,9265,7527,4924,2981,1337,1041,262752,23150,22369,21379,21374,23756,24209,22476,20391,18314,15559,13491,11280,9555,6682,4242,2207,2318
,....City of Parañaque,686313,65188,60674,57204,52275,61893,65062,62914,55303,47334,39761,34354,27554,22192,14735,9551,5043,5276,339314,33402,31399,29634,26579,31082,32920,32187,27478,23211,19198,16013,12488,9897,6353,3929,1859,1685,346999,31786,29275,27570,25696,30811,32142,30727,27825,24123,20563,18341,15066,12295,8382,5622,3184,3591
,....Pasay City,437003,33038,34698,34399,34196,49416,52250,42628,35045,29187,23236,20200,16047,12520,8704,5706,2857,2876,217169,17045,17840,17605,17049,24733,26241,21715,18010,14699,11463,9772,7576,5570,3789,2268,953,841,219834,15993,16858,16794,17147,24683,26009,20913,17035,14488,11773,10428,8471,6950,4915,3438,1904,2035
