,,Total Income,Total Expenditure,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,2016,"35,599.61",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,2017,"43,303.53",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,2018,"47,315.35",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,2019,"51,263.34",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,2020,"28,839.53",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,2021,"28,038.98",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
region,lgu,year,lgutype,elecyr,lgusincome,totlocsrc,ira,tottax,totexsrc,govexp,pubwelf,educexp,healthexp,laborexp,housingexp,socservexp,econdevexp,totexp,,,,,,,,,,,,,,,,
NCR,SAN JUAN CITY,2021,City,2019,2501.258604,1978.49351,517.713933,1791.849949,522.7650945,863.6896008,931.5405412,135.9279052,533.5682292,0,164.5272241,97.51718262,96.11615288,1891.346295,,SAN JUAN CITY,1548.555877,1217.753368,0,0,1875.291569,1452.571546,2146.679606,1566.642763,2292.13279,1739.10349,2501.258604,1891.346295,2588.048721,2249.163446
NCR,TAGUIG CITY,2021,City,2019,13675.57481,10882.12724,1886.20626,9930.487447,2793.447572,10039.99073,1542.917031,452.8141105,619.5775402,0,2.52864308,467.9967376,289.302032,11872.2098,,TAGUIG CITY,6559.588487,4210.614426,8348.201837,4305.5805,10784.01531,5222.99928,12602.41784,7651.240639,12846.65429,11640.00462,13675.57481,11872.2098,15943.95696,8580.900734
NCR,VALENZUELA CITY,2021,City,2019,5433.219209,3899.244377,1529.063994,3223.281778,1533.974832,1808.516705,2143.884031,617.1862616,780.529101,5.25052545,544.5449097,196.3732333,199.9346528,4152.335389,,VALENZUELA CITY,3600.962103,2822.632045,3645.944354,3069.358357,4170.225967,3185.264685,4510.938509,3588.174725,5036.953663,4178.913277,5433.219209,4152.335389,5997.555813,4566.844246
NCR,CALOOCAN CITY,2020,City,2019,6584.811762,3124.77688,3184.372259,2656.406272,3460.034882,2151.569925,665.2412739,114.7769653,390.3941752,14.38203152,33.71040458,111.9776974,1420.201337,4237.012537,,,5573.598244,3328.297159,6474.494587,3750.347334,7309.954939,4332.226124,8092.547065,4864.809582,8499.276098,6682.44631,8677.710454,6901.287944,9552.895012,6546.731396
NCR,LAS PIÑAS CITY,2020,City,2019,2517.202983,2063.957765,338.9513237,1740.852565,453.2452183,952.7533934,1311.697828,238.0338563,409.5235854,1.27748064,289.8750077,372.9878978,167.0970633,2431.548284,,,2016,,2017,,2018,,2019,,2020,,2021,,2022,
NCR,MAKATI CITY,2020,City,2019,17008.57597,15245.1101,1330.704261,14252.0776,1763.465871,3481.433114,10107.96149,2311.965501,3898.988815,23.14445278,0,3873.862717,1144.049684,14733.44428,,,,,,,,,,,,,,,,
NCR,MALABON CITY,2020,City,2019,2041.740558,1028.091844,934.125655,802.3888531,1013.648713,334.1121251,497.2717727,68.06304773,269.4558392,2.18496156,11.96062197,145.6073022,165.3918768,996.7757746,,,Year,Total Income,Total Expenditure,,,,,,,,,,,
NCR,MANDALUYONG CITY,2020,City,2019,5768.772233,4712.962526,965.692793,4361.544858,1055.809707,1270.216706,2463.129212,700.068229,817.414224,3.692608,389.578939,552.375212,425.627636,4158.973554,,,2016,5573.60,3328.30,,,,,,,,,,,
NCR,MANILA CITY,2020,City,2019,15038.41211,11070.48906,3511.205847,9705.682252,3967.923047,4414.798489,6704.805489,1052.461286,2871.462026,0,1260.177322,1520.704855,1179.995468,12299.59945,,,2017,6474.49,3750.35,,,,,,,,,,,
NCR,MARIKINA CITY,2020,City,2019,3228.054493,1600.876263,1094.362498,1155.602428,1627.178229,3347.013385,816.9669558,324.0692643,118.7605367,2.64908044,279.0175171,92.47055731,159.3577783,4323.338119,,,2018,7309.95,4332.23,,,,,,,,,,,
